data,casosNovos,casosAcumulado,obitosNovos,obitosAcumulado
2022-01-13,97111,22321179.0,175,604112
2022-01-14,111726,22487142.0,257,608391
2022-01-15,48338,22682570.0,174,612947
2022-01-16,25056,22666593.0,211,613034
2022-01-17,73277,22435430.0,263,601117
2022-01-18,143003,22147933.0,364,593737
2022-01-19,205697,22815366.0,348,603577
2022-01-20,165341,23074472.0,357,606891
2022-01-21,162957,23168990.0,362,604431
2022-01-22,155779,23586808.0,258,615370
2022-01-23,134525,23773331.0,299,614759
2022-01-24,82917,23914982.0,346,617882
2022-01-25,180105,23689287.0,561,608248
2022-01-26,222964,24163377.0,573,612588
2022-01-27,226282,24523176.0,663,617779
2022-01-28,268827,24706862.0,801,616098
2022-01-29,179445,25025817.0,637,622038
2022-01-30,136755,24906568.0,321,616182
2022-01-31,77743,25197225.0,288,622611
2022-02-01,190250,25108450.0,929,613923
2022-02-02,172052,25588418.0,893,624769
2022-02-03,289330,25193221.0,1043,608959
2022-02-04,183886,26130109.0,560,627417
2022-02-05,197276,26151441.0,1305,624666
2022-02-06,59711,26337926.0,393,627244
2022-02-07,65912,26119649.0,429,619323
2022-02-08,176384,26506894.0,1191,626739
2022-02-09,174574,26390434.0,1293,623668
2022-02-10,163843,26912939.0,943,630781
2022-02-11,165655,27103508.0,1122,632324
2022-02-12,139238,27167001.0,903,632092
2022-02-13,53912,26529789.0,342,614034
2022-02-14,58539,27130297.0,478,628909
2022-02-15,120944,27466383.0,857,635911
2022-02-16,146625,27261169.0,1096,625687
2022-02-17,130581,27665478.0,1144,635892
2022-02-18,120057,27698247.0,1128,634748
2022-02-19,110951,27847555.0,853,635286
2022-02-20,39987,27775040.0,414,634867
2022-02-21,37358,27971229.0,318,638591
2022-02-22,105686,28097540.0,818,639973
2022-02-23,133288,27966852.0,993,630771
2022-02-24,92887,27902273.0,980,630936
2022-02-25,91270,28112678.0,780,637200
2022-02-26,73895,28324761.0,755,639934
2022-02-27,24080,28136911.0,221,634511
2022-02-28,19610,28337740.0,345,640478
2022-03-01,23752,28302624.0,298,639316
2022-03-02,30984,28191764.0,520,634233
2022-03-03,61701,28369208.0,734,637095
2022-03-04,68902,28484429.0,829,639006
2022-03-05,124310,28082650.0,1987,629233
2022-03-06,88994,28484518.0,1597,641424
2022-03-07,20425,28309697.0,196,632524
2022-03-08,69150,28380932.0,489,635648
2022-03-09,65651,28559123.0,666,642983
2022-03-10,57015,28691624.0,585,643734
2022-03-11,54702,27403892.0,480,592159
2022-03-12,48993,28494917.0,399,637012
2022-03-13,18503,27474566.0,144,592463
2022-03-14,11230,27915515.0,176,604912
2022-03-15,52060,28584512.0,347,635620
2022-03-16,45939,28576821.0,357,639795
2022-03-17,48773,28632121.0,484,634793
2022-03-18,46026,28654930.0,385,636476
2022-03-19,44277,28801943.0,307,642802
2022-03-20,12760,27922296.0,118,601145
2022-03-21,11160,29374020.0,98,651951
2022-03-22,41413,28738912.0,550,639860
2022-03-23,47905,28841265.0,304,640140
2022-03-24,37437,28801947.0,475,637734
2022-03-25,35186,28663275.0,262,639048
2022-03-26,30730,29009309.0,199,643786
2022-03-27,10146,28355699.0,121,607741
2022-03-28,10063,29376104.0,78,649222
2022-03-29,30192,29051820.0,446,641382
